"Here’s the breakdown of Big Tech's Q1 lobbying spend: 
-Facebook: $5.3 million, up 19% from last quarter
-Amazon: $4.3 million, up 3%
-Microsoft: $2.4 million, up 0.2%
-Apple: $2.2 million, up 18%
-Google: $1.8 million, down 34% https://t.co/qXh6Aoy8Gw",1254275312466169857,
We spoke with Amazon workers around the country about what it’s really like to work inside an Amazon warehouse right now. https://t.co/lPhenyObL0,1254169851297439746,
Costco vs Amazon: Which credit card is the best for your wallet? https://t.co/GmZia59I3d,1254088754219933697,
For subscribers: Goldman becomes the biggest Amazon bull on the Street https://t.co/lPW4weQZQV Check out @CNBCPro for a free trial.,1253831109676236802,
"RT @CNBCFastMoney: The $5.1 trillion countdown is on as tech titans Alphabet, Facebook, Microsoft, Amazon and Apple prepare to report earni…",1253822775090913284,
Correction: Amazon extends wage increases for warehouse workers during coronavirus pandemic https://t.co/jz6uLZXaiW,1253750915372384256,
Columbia's coronavirus plasma therapy study will be funded by $2.5 million from Amazon. https://t.co/4QYAXpj9Jw,1253644512292937728,
For subscribers: Goldman becomes the biggest Amazon bull on the Street https://t.co/2pRmKnknUi Check out @CNBCPro for a free trial.,1253479038133440513,
"RT @lauren_feiner: Following the @WSJ report on Amazon's use of seller data for its private label brands, House Antitrust Subcommittee Chai…",1253463106736570368,
Amazon's top watchdog in Congress says its witness 'may have lied' https://t.co/zHcrjwIFbN,1253461010368933888,
"The FDA just approved Columbia's Covid-19 plasma therapy study, backed by Amazon https://t.co/Ta0TeFYJTz",1253449629146001413,
Amazon has seen an unprecedented surge in demand during the coronavirus crisis. We spoke with employees across the country to see what it’s like to work inside an Amazon warehouse right now. https://t.co/BUYkOFoufW https://t.co/Z5oFrwCQLw,1253392925536522242,
"Amazon uses data from third-party sellers to develop its own products, WSJ investigation finds https://t.co/hMntK6s4Ai",1253341651801640960,
New for subscribers:  Wall Street analysts see upside in stocks like Amazon ahead of earnings https://t.co/TbPOPuJFRj Check out @CNBCPro for a free trial.,1253327108358586369,
New for subscribers:  Goldman becomes the biggest Amazon bull on the Street https://t.co/NbuGKdLHo0 Check out @CNBCPro for a free trial.,1253305513154052096,
We spoke with Amazon workers around the country about what it’s really like to work inside an Amazon warehouse right now. https://t.co/0kUJppsz5j,1253040389675782145,
What it's really like to work in an Amazon fulfillment center during the Covid-19 pandemic https://t.co/BUYkOFoufW,1252976220180025344,
"Here’s the breakdown of Big Tech's Q1 lobbying spend: 
-Facebook: $5.3 million, up 19% from last quarter
-Amazon: $4.3 million, up 3%
-Microsoft: $2.4 million, up 0.2%
-Apple: $2.2 million, up 18%
-Google: $1.8 million, down 34% https://t.co/RMuzHV4VGn",1252972425156923392,
Facebook and Amazon lead Big Tech lobbying in the first quarter while Google scales down https://t.co/Mzf6K6jUlq,1252951322162335744,
"RT @CNBCFastMoney: A MAGA meltdown hitting Wall Street today, with Microsoft, Apple, Alphabet and Amazon all leading the broad market lower…",1252739697190883329,
Amazon tells cloud customers it's 'here to help' as businesses face financial hardship https://t.co/3Ek3ExLu8s,1252714400651362306,
Google wanted to partner with delivery companies to compete with Amazon https://t.co/QnjzupDUoQ,1252634916770250752,
New for subscribers:  Analysts see stocks like Amazon and Walmart continuing to benefit from the coronavirus pandemic https://t.co/BBLt0fMpbs Check out @CNBCPro for a free trial.,1252595900372979712,
Amazon invests $10 million to help conserve forests as part of climate change plan https://t.co/J63cahaeAC,1252589043940016128,
"New for subscribers:  Jefferies makes the case for Amazon rising to $2,800 in 12 months and then $4,000 one day https://t.co/Bh2Ci6unU1 Check out @CNBCPro for a free trial.",1252580041575333888,
"RT @CNBCPro: Watch the full interview with Mark Cuban on his ‘America 2.0’ investing strategy, Amazon https://t.co/SuQZ35B5rQ",1252577880581853186,
RT @CNBCFastMoney: “Shark Tank” Investor and Dallas Mavericks Owner Mark Cuban comments on when Amazon and the continued market volatility.…,1252383163856285704,
